(random_ship_heading_angle, random_ship_accel_turn_rate, random_ship_cruise_speed, random_ship_cruise_turn_rate, random_ship_cruise_timesteps, next_imminent_collision_time, safe_time_after_maneuver)
-9.31809881322986,30.9180078855141,-200.25644988752816,21.526771655627527,27,24.77026098037577,22.936927647042438
-23.600391655651336,135.95018824132188,-216.6155178158025,76.85129479523431,1,7.234850573275663,6.10151723994233
3.5234861963255426,-177.4601035423362,173.77734448082396,20.979763358261096,25,6.939732412593976,5.306399079260643
-29.72959616944666,-138.06307780934856,50.229844829602825,156.5803480781198,7,21.33664267389724,20.70330934056391
0.10502173378644386,67.78194108056223,-175.86353293954608,-7.398554902606975,24,5.310219621511614,3.7102196215116137
-11.032637367099088,172.81711307561363,118.57172825713468,-5.023262562229661,16,16.226930538869073,15.09359720553574
8.42257921608281,-96.40556229691211,-7.341152530656473,-35.804798607781095,1,0.4000000000000006,0.23333333333333392
12.806943921345372,21.99155650186114,60.290037133669955,126.21931164534101,18,6.928246018136568,5.928246018136568
9.90753580267019,32.09897308710791,28.26985446479887,-142.0756084337517,3,5.258001833685735,4.958001833685735
-11.68851469327462,-121.81880392183236,17.82081748033704,-62.38423486849855,20,6.36438882028082,5.531055486947487
20.81609050544867,-147.77372364445438,-108.44531914912781,48.75220532065998,29,7.557942449971115,5.991275783304449
-11.443190992386803,161.9473298991822,-122.40771677006599,-65.19167701068909,13,7.941966199369112,6.908632866035779
3.015320651456051,157.58142901333292,135.64962514523222,-77.67856709918594,19,8.907387954768767,7.6407212881021005
-29.710861444832524,146.8063533579571,29.46734421807338,113.94603664051283,15,9.242627200657138,8.409293867323804
27.595346724578214,95.81334162961252,-74.90606675324028,1.6205212764933492,15,7.714013474500816,6.680680141167483
18.72991165680137,7.42355325299269,-139.0268228814854,-58.422767971353906,7,12.305749851943782,11.305749851943782
14.536099154874726,-160.47766401636096,-220.50638630566232,21.11687836815898,3,6.526222657789435,5.359555991122768
-24.183616849037165,36.22936131987089,146.80322689927857,131.98984038356713,9,6.8818265565906955,5.781826556590696
-22.65076898968278,102.72092756839038,173.80088373528122,142.3271847691786,9,6.6223181661395065,5.422318166139506
1.8392239699396313,155.3572680707972,-39.368901602652414,-130.544162573715,29,9.119995041595438,7.919995041595437
-22.90737717290027,-141.8960933624765,98.63611122388409,-34.6566057152439,4,40.264355637437305,39.53102230410397
-9.473945847440739,-1.9283527652510202,-85.9401149981536,-10.016609171473618,1,13.941279163572581,13.441279163572581
-19.28055903007597,-45.476279698940175,122.91071031956005,-154.5936626115967,12,7.40456667916858,6.30456667916858
0.0004888537634890611,95.48086600065182,-67.51934850973396,-87.58796496459289,15,6.595601852050928,5.762268518717595
-14.40101596076315,-27.92974967895651,-114.73244907483712,-75.18938654069578,23,8.232222885821061,6.832222885821061
-27.717342801293903,-55.12900900930535,-38.01330586754216,31.851566220685612,7,6.111435931870357,5.511435931870357
-13.525233345359922,-72.19653062327255,229.01698756344314,24.67016479291243,4,3.74969654272014,2.5163632093868067
2.247318308347367,-117.78074492024906,-41.120462444218276,-146.05645926329535,9,2.7696572978832865,2.2363239645499533
3.507226714268434,96.01914126206657,-162.0786418728635,-175.7509425892236,11,3.158324198245706,2.058324198245706
-3.8267458817663957,68.13217719354034,-75.14091705204535,109.4701692800956,13,6.340601954949277,5.507268621615944
19.801585974886365,169.20735875679924,69.02367115157182,-40.24539656135127,6,5.7920611154796955,5.158727782146363
4.2957669419768365,67.52015822145663,235.39567904845137,-115.47580386309667,7,6.5637932418552225,5.263793241855223
23.176212195852358,93.78487767393517,181.26228066776025,46.49249740942548,4,7.012537174841002,5.945870508174336
-5.202102872052691,-65.63713091815418,46.57620795713143,-74.22026740640696,23,8.464093633163873,7.43076029983054
-29.66452170975905,-80.96252805470162,58.616688304100876,120.6112627028001,10,5.9762562112490984,5.176256211249099
-8.597638054444992,-3.862074096246147,81.17702372915977,-179.0456961534648,21,6.782354731055278,5.6490213977219454
9.86037838962909,-26.564102395313284,-77.11906760964672,-129.12216496572353,1,5.4960734304872085,5.029406763820542
25.647398728650266,71.01743681157049,118.58797884656502,-9.305792912628874,19,9.796525874491287,8.463192541157953
-21.08750542776357,-104.90265527703095,-220.9378200540881,101.96906109567226,11,6.337599592110602,4.8709329254439355
-28.244967857894963,-49.15376594924953,-95.71566491291924,-66.00355456733408,10,6.728293912220771,5.794960578887437
-14.236300585381542,93.92000401865562,-107.3920316984331,-107.81334290329586,15,6.1864621247275196,5.119795458060853
12.379718861881663,-139.66994772512294,-103.72246580352683,-87.21253893784571,23,6.055615894413249,4.722282561079916
0.11616660396038725,158.07619065448677,-40.413073296250275,132.49293188018186,19,5.043865047464662,4.177198380797995
29.816697689024053,-37.152024416188226,-151.3344197318338,-55.73339147343049,19,110.99969503311492,109.49969503311492
-20.03266624758339,-130.0236247813611,47.79410686660765,165.0966584827765,11,5.7729378685207555,5.039604535187422
-14.786290532629458,-167.04453723910294,-107.25893654633433,-102.47282864710014,7,8.094806453074078,7.294806453074078
9.0325276206554,-149.0128366643518,235.4565061431299,-103.32357883976675,12,8.09249220541464,6.59249220541464
16.789033449669205,-172.97719666906767,-46.375374290447354,97.80512379695,3,5.471619776742106,5.038286443408772
-2.6455457740657486,-26.292225253208386,-5.5672942723252845,108.10340124961078,29,7.151472952878265,6.084806286211599
4.8228215459401085,-132.12763540742327,-102.5709785572619,94.39942878581144,25,7.306599016693315,5.9732656833599815
-15.51482764295913,165.52319687511016,213.35345537254835,65.09334518600468,7,14.030745622285838,12.764078955619173
18.029212320173123,42.732359323189655,10.010452599519539,126.39869556570153,13,6.29535910937091,5.662025776037577
-8.75415559422234,34.51413087711586,-32.887035625079506,-114.13122259626843,10,5.535226610133993,4.968559943467326
-19.125726659953262,-79.5771698946965,-14.33868073063519,156.20612619552372,25,6.154233922542455,5.120900589209122
-3.0770477314781104,177.85314872736018,-39.03141816153803,-68.63730792894304,30,6.633229345003925,5.399896011670592
-22.26451608246209,134.42110947529665,1.8427966844431296,-163.04695473073247,25,6.1234671614852045,5.090133828151871
